id,name,group,parentId,level
subsidiary a,subsidiary a,Basin,,1
America,AM,Region,subsidiary a,2
Asia,AS,Region,subsidiary a,2
Australia,AU,Region,subsidiary a,2
Europe,EU,Region,subsidiary a,2
South America,SA,Region,subsidiary a,2
ChanakyaG,CKG-7G6C,Asset,America,3
Horizon,HRZ-1N9L,Asset,America,3
NovaEnergy,NVA-EN-YONR,Asset,America,3
RudraOil,RDO-KBPP,Asset,America,3
Rudra,RUD-8D33,Asset,Asia,3
SHMIY,SHM-Y-FF2M,Asset,Asia,3
Aurora ,AUR-LGSK ,Asset ,Asia,3
FrontierEnergy ,FRT-EN-0121 ,Asset ,Australia,3
SeraphicSpire,SRP-SP-69M1,Asset,Australia,3
Aurora1 ,AUR-LGSK ,Asset ,Australia,3
Helios ,HLS-N6YE ,Asset ,Europe,3
NovaEnergy ,NVA-EN-YONR ,Asset ,Europe,3
OceanPioneer ,OCP-UM-98J3 ,Asset ,Europe,3
Polaris ,PLR-FD6P ,Asset ,Europe,3
SummitEnergy ,SMT-EN-FAS1 ,Asset ,South America,3
TitanGas ,TNG-WOHY ,Asset ,South America,3
ZenithRidge ,ZNR-X0E8 ,Asset ,South America,3
America1 ,AM ,Facility ,ChanakyaG,4
ZenithRidge LNG Tank M ,FAC-AB5-M ,Facility ,ChanakyaG,4
Aurora ONS I ,FAC-BJ1-I ,Facility ,ChanakyaG,4
NovaEnergy Facility D,FAC-CD3-D,Facility,ChanakyaG,4
OceanPioneer Boosting Facility W,FAC-CV5-W,Facility,ChanakyaG,4
America2,AM,Facility,ChanakyaG,4
Europe Mock 1,Europe-1,Facility,ChanakyaG,4
America Mock 2,America-2,Facility,ChanakyaG,4
Asia Mock 3,Asia-3,Facility,ChanakyaG,4
Australia Mock 4,Australia-4,Facility,ChanakyaG,4
America Mock 5,America-5,Facility,ChanakyaG,4
America Mock 6,America-6,Facility,ChanakyaG,4
Europe Mock 7,Europe-7,Facility,ChanakyaG,4
America Mock 8,America-8,Facility,ChanakyaG,4
South America Mock 9,South America-9,Facility,ChanakyaG,4
South America Mock 10,South America-10,Facility,ChanakyaG,4
South America Mock 11,South America-11,Facility,ChanakyaG,4
Asia Mock 12,Asia-12,Facility,ChanakyaG,4
South America Mock 13,South America-13,Facility,ChanakyaG,4
Australia Mock 14,Australia-14,Facility,ChanakyaG,4
Europe Mock 15,Europe-15,Facility,ChanakyaG,4
Australia Mock 16,Australia-16,Facility,ChanakyaG,4
Australia Mock 17,Australia-17,Facility,ChanakyaG,4
Europe Mock 18,Europe-18,Facility,ChanakyaG,4
Australia Mock 19,Australia-19,Facility,ChanakyaG,4
Asia Mock 20,Asia-20,Facility,ChanakyaG,4
Asia Mock 21,Asia-21,Facility,ChanakyaG,4
America Mock 22,America-22,Facility,ChanakyaG,4
Australia Mock 23,Australia-23,Facility,ChanakyaG,4
America Mock 24,America-24,Facility,ChanakyaG,4
Australia Mock 25,Australia-25,Facility,ChanakyaG,4
Europe Mock 26,Europe-26,Facility,ChanakyaG,4
South America Mock 27,South America-27,Facility,ChanakyaG,4
South America Mock 28,South America-28,Facility,Horizon,4
Australia Mock 29,Australia-29,Facility,Horizon,4
America Mock 30,America-30,Facility,Horizon,4
Australia Mock 31,Australia-31,Facility,Horizon,4
America Mock 32,America-32,Facility,Horizon,4
Asia Mock 33,Asia-33,Facility,Horizon,4
Asia Mock 34,Asia-34,Facility,Horizon,4
Europe Mock 35,Europe-35,Facility,Horizon,4
Asia Mock 36,Asia-36,Facility,Horizon,4
Europe Mock 37,Europe-37,Facility,Horizon,4
Asia Mock 38,Asia-38,Facility,Horizon,4
America Mock 39,America-39,Facility,Horizon,4
America Mock 40,America-40,Facility,Horizon,4
Australia Mock 41,Australia-41,Facility,Horizon,4
Australia Mock 42,Australia-42,Facility,Horizon,4
Europe Mock 43,Europe-43,Facility,Horizon,4
Australia Mock 44,Australia-44,Facility,NovaEnergy,4
Europe Mock 45,Europe-45,Facility,NovaEnergy,4
America Mock 46,America-46,Facility,NovaEnergy,4
Australia Mock 47,Australia-47,Facility,NovaEnergy,4
Australia Mock 48,Australia-48,Facility,NovaEnergy,4
South America Mock 49,South America-49,Facility,NovaEnergy,4
South America Mock 50,South America-50,Facility,NovaEnergy,4
Australia Mock 51,Australia-51,Facility,NovaEnergy,4
Asia Mock 52,Asia-52,Facility,NovaEnergy,4
South America Mock 53,South America-53,Facility,NovaEnergy,4
Australia Mock 54,Australia-54,Facility,NovaEnergy,4
Australia Mock 55,Australia-55,Facility,NovaEnergy,4
