id,name,group,parentId,level,latitude,longitude,status
Subsidiary a,Subsidiary a,Basin,,1,,,
America,AM,Region,Subsidiary a,2,,,
Asia,AS,Region,Subsidiary a,2,,,
Australia,AU,Region,Subsidiary a,2,,,
Europe,EU,Region,Subsidiary a,2,,,
South America,SA,Region,Subsidiary a,2,,,
ChanakyaG,CKG-7G6C,Asset,America,3,,,
Horizon,HRZ-1N9L,Asset,America,3,,,
NovaEnergy,NVA-EN-YONR,Asset,America,3,,,
RudraOil,RDO-KBPP,Asset,America,3,,,
Rudra,RUD-8D33,Asset,Asia,3,,,
SHMIY,SHM-Y-FF2M,Asset,Asia,3,,,
Aurora ,AUR-LGSK ,Asset ,Asia,3,,,
FrontierEnergy ,FRT-EN-0121 ,Asset ,Australia,3,,,
SeraphicSpire,SRP-SP-69M1,Asset,Australia,3,,,
Aurora1 ,AUR-LGSK ,Asset ,Australia,3,,,
Helios ,HLS-N6YE ,Asset ,Europe,3,,,
NovaEnergy ,NVA-EN-YONR ,Asset ,Europe,3,,,
OceanPioneer ,OCP-UM-98J3 ,Asset ,Europe,3,,,
Polaris ,PLR-FD6P ,Asset ,Europe,3,,,
SummitEnergy ,SMT-EN-FAS1 ,Asset ,South America,3,,,
TitanGas ,TNG-WOHY ,Asset ,South America,3,,,
ZenithRidge ,ZNR-X0E8 ,Asset ,South America,3,,,
America1 ,AM ,Facility ,ChanakyaG,4,37.7749,-122.4194,operating
ZenithRidge LNG Tank M ,FAC-AB5-M ,Facility ,ChanakyaG,4,34.0522,-118.2437,non-operating
Aurora ONS I ,FAC-BJ1-I ,Facility ,ChanakyaG,4,30.3295,-74.006,operating
NovaEnergy Facility D,FAC-CD3-D,Facility,ChanakyaG,4,26.6068,-0.1278,non-operating
OceanPioneer Boosting Facility W,FAC-CV5-W,Facility,ChanakyaG,4,22.8841,-122.4194,operating
America2,AM,Facility,ChanakyaG,4,19.1614,-118.2437,non-operating
Europe Mock 1,Europe-1,Facility,ChanakyaG,4,15.4387,-74.006,operating
America Mock 2,America-2,Facility,ChanakyaG,4,11.716,-0.1278,non-operating
Asia Mock 3,Asia-3,Facility,ChanakyaG,4,7.9933,-122.4194,operating
Australia Mock 4,Australia-4,Facility,ChanakyaG,4,4.2706,-118.2437,non-operating
America Mock 5,America-5,Facility,ChanakyaG,4,37.7749,-74.006,operating
America Mock 6,America-6,Facility,ChanakyaG,4,34.0522,-0.1278,operating
Europe Mock 7,Europe-7,Facility,ChanakyaG,4,30.3295,-50.66882727,non-operating
America Mock 8,America-8,Facility,ChanakyaG,4,26.6068,-46.35645839,operating
South America Mock 9,South America-9,Facility,ChanakyaG,4,22.8841,-42.04408951,non-operating
South America Mock 10,South America-10,Facility,ChanakyaG,4,19.1614,-37.73172063,operating
South America Mock 11,South America-11,Facility,ChanakyaG,4,15.4387,-33.41935175,non-operating
Asia Mock 12,Asia-12,Facility,ChanakyaG,4,37.7749,-29.10698287,operating
South America Mock 13,South America-13,Facility,ChanakyaG,4,34.0522,-24.79461399,non-operating
Australia Mock 14,Australia-14,Facility,ChanakyaG,4,30.3295,-20.4822451,operating
Europe Mock 15,Europe-15,Facility,ChanakyaG,4,26.6068,-16.16987622,non-operating
Australia Mock 16,Australia-16,Facility,ChanakyaG,4,22.8841,-11.85750734,operating
Australia Mock 17,Australia-17,Facility,ChanakyaG,4,19.1614,-7.545138462,operating
Europe Mock 18,Europe-18,Facility,ChanakyaG,4,15.4387,-3.23276958,non-operating
Australia Mock 19,Australia-19,Facility,ChanakyaG,4,37.7749,1.079599301,operating
Asia Mock 20,Asia-20,Facility,ChanakyaG,4,34.0522,5.391968182,non-operating
Asia Mock 21,Asia-21,Facility,ChanakyaG,4,30.3295,9.704337063,operating
America Mock 22,America-22,Facility,ChanakyaG,4,26.6068,14.01670594,non-operating
Australia Mock 23,Australia-23,Facility,ChanakyaG,4,22.8841,18.32907483,operating
America Mock 24,America-24,Facility,ChanakyaG,4,19.1614,22.64144371,non-operating
Australia Mock 25,Australia-25,Facility,ChanakyaG,4,15.4387,26.95381259,operating
Europe Mock 26,Europe-26,Facility,ChanakyaG,4,37.7749,31.26618147,non-operating
South America Mock 27,South America-27,Facility,ChanakyaG,4,34.0522,35.57855035,operating
South America Mock 28,South America-28,Facility,Horizon,4,30.3295,39.89091923,operating
Australia Mock 29,Australia-29,Facility,Horizon,4,26.6068,44.20328811,non-operating
America Mock 30,America-30,Facility,Horizon,4,22.8841,48.51565699,operating
